Source.Name,Timestamp,Vehicle,Protocol,Short Term Fuel Trim Bank 1 (STFT),Long Term Fuel Trim Bank 1 (LTFT),Calculated Engine Load,Engine RPM,Vehicle Speed,Throttle Position (TPS),Intake Manifold Pressure (MAP)
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:54.625,Honda Brio 2015,ATSP0,1.56 %,10.94 %,96 %,2014 RPM,42 km/h,18 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:56.111,Honda Brio 2015,ATSP0,1.56 %,11.72 %,38 %,2106 RPM,44 km/h,32 %,99 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:57.625,Honda Brio 2015,ATSP0,-1.56 %,10.94 %,65 %,2488 RPM,47 km/h,19 %,89 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:21:59.084,Honda Brio 2015,ATSP0,0.00 %,10.94 %,99 %,1737 RPM,49 km/h,77 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:00.589,Honda Brio 2015,ATSP0,-1.56 %,10.94 %,99 %,1890 RPM,53 km/h,25 %,74 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:02.099,Honda Brio 2015,ATSP0,-3.13 %,11.72 %,60 %,1964 RPM,55 km/h,21 %,61 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:03.665,Honda Brio 2015,ATSP0,0.00 %,11.72 %,58 %,1999 RPM,56 km/h,20 %,54 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:05.135,Honda Brio 2015,ATSP0,-1.56 %,11.72 %,52 %,2040 RPM,57 km/h,21 %,55 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:06.620,Honda Brio 2015,ATSP0,0.00 %,11.72 %,51 %,2078 RPM,59 km/h,21 %,55 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:08.151,Honda Brio 2015,ATSP0,0.00 %,11.72 %,50 %,2124 RPM,60 km/h,21 %,54 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:09.635,Honda Brio 2015,ATSP0,0.00 %,11.72 %,49 %,2157 RPM,61 km/h,20 %,43 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:11.142,Honda Brio 2015,ATSP0,-4.69 %,12.50 %,21 %,2157 RPM,60 km/h,17 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:12.664,Honda Brio 2015,ATSP0,-10.16 %,13.28 %,16 %,2119 RPM,59 km/h,17 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:14.161,Honda Brio 2015,ATSP0,0.00 %,13.28 %,19 %,2069 RPM,58 km/h,18 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:15.679,Honda Brio 2015,ATSP0,0.00 %,12.50 %,30 %,2054 RPM,58 km/h,19 %,35 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:17.254,Honda Brio 2015,ATSP0,-5.47 %,11.72 %,28 %,2077 RPM,57 km/h,17 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:18.764,Honda Brio 2015,ATSP0,0.00 %,12.50 %,29 %,2048 RPM,57 km/h,20 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:20.243,Honda Brio 2015,ATSP0,0.00 %,11.72 %,39 %,2090 RPM,59 km/h,18 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:21.692,Honda Brio 2015,ATSP0,0.00 %,13.28 %,16 %,2072 RPM,59 km/h,19 %,34 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:23.192,Honda Brio 2015,ATSP0,-11.72 %,12.50 %,30 %,2097 RPM,59 km/h,19 %,34 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:24.668,Honda Brio 2015,ATSP0,-3.13 %,12.50 %,25 %,2104 RPM,59 km/h,18 %,32 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:26.126,Honda Brio 2015,ATSP0,-3.91 %,12.50 %,29 %,2124 RPM,59 km/h,19 %,33 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:27.582,Honda Brio 2015,ATSP0,-2.34 %,12.50 %,22 %,2105 RPM,59 km/h,17 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:29.046,Honda Brio 2015,ATSP0,0.00 %,13.28 %,17 %,2109 RPM,59 km/h,18 %,23 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:30.496,Honda Brio 2015,ATSP0,-2.34 %,13.28 %,23 %,2091 RPM,58 km/h,18 %,30 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:31.958,Honda Brio 2015,ATSP0,-5.47 %,12.50 %,38 %,2102 RPM,58 km/h,27 %,87 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:33.457,Honda Brio 2015,ATSP0,-1.56 %,10.94 %,92 %,2188 RPM,62 km/h,38 %,98 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:34.972,Honda Brio 2015,ATSP0,0.78 %,10.94 %,96 %,2325 RPM,66 km/h,40 %,97 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:36.377,Honda Brio 2015,ATSP0,-3.13 %,10.94 %,91 %,2396 RPM,68 km/h,27 %,72 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:37.797,Honda Brio 2015,ATSP0,0.00 %,11.72 %,26 %,2401 RPM,66 km/h,18 %,24 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:39.385,Honda Brio 2015,ATSP0,-6.25 %,11.72 %,27 %,2300 RPM,64 km/h,20 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:40.877,Honda Brio 2015,ATSP0,-3.91 %,11.72 %,38 %,2229 RPM,62 km/h,20 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:42.389,Honda Brio 2015,ATSP0,-1.56 %,12.50 %,29 %,2148 RPM,60 km/h,20 %,45 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:43.984,Honda Brio 2015,ATSP0,-3.13 %,11.72 %,61 %,2097 RPM,59 km/h,23 %,69 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:45.533,Honda Brio 2015,ATSP0,1.56 %,11.72 %,56 %,2078 RPM,58 km/h,18 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:46.977,Honda Brio 2015,ATSP0,-5.47 %,12.50 %,31 %,2002 RPM,56 km/h,19 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:48.477,Honda Brio 2015,ATSP0,-0.78 %,12.50 %,32 %,1932 RPM,53 km/h,19 %,26 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:50.077,Honda Brio 2015,ATSP0,0.00 %,14.06 %,15 %,1801 RPM,50 km/h,16 %,24 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:51.559,Honda Brio 2015,ATSP0,0.00 %,12.50 %,31 %,1698 RPM,47 km/h,19 %,38 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:53.122,Honda Brio 2015,ATSP0,0.00 %,12.50 %,33 %,1640 RPM,45 km/h,16 %,22 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:54.597,Honda Brio 2015,ATSP0,0.00 %,14.84 %,14 %,1516 RPM,42 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:56.042,Honda Brio 2015,ATSP0,0.00 %,15.63 %,14 %,1412 RPM,39 km/h,18 %,38 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:57.549,Honda Brio 2015,ATSP0,0.00 %,12.50 %,35 %,1377 RPM,39 km/h,21 %,69 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:22:58.993,Honda Brio 2015,ATSP0,-2.34 %,12.50 %,36 %,1374 RPM,38 km/h,18 %,39 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:00.478,Honda Brio 2015,ATSP0,-3.91 %,12.50 %,35 %,1346 RPM,37 km/h,16 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:01.965,Honda Brio 2015,ATSP0,-3.91 %,14.06 %,21 %,1154 RPM,34 km/h,16 %,34 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:03.449,Honda Brio 2015,ATSP0,-2.34 %,14.84 %,33 %,804 RPM,30 km/h,16 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:04.910,Honda Brio 2015,ATSP0,-3.91 %,14.84 %,34 %,786 RPM,23 km/h,16 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:06.391,Honda Brio 2015,ATSP0,-1.56 %,15.63 %,27 %,772 RPM,16 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:07.900,Honda Brio 2015,ATSP0,-2.34 %,16.41 %,24 %,775 RPM,8 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:09.417,Honda Brio 2015,ATSP0,-2.34 %,16.41 %,24 %,781 RPM,2 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:10.944,Honda Brio 2015,ATSP0,-2.34 %,16.41 %,23 %,776 RPM,0 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:12.499,Honda Brio 2015,ATSP0,-0.78 %,16.41 %,25 %,788 RPM,0 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:13.990,Honda Brio 2015,ATSP0,-0.78 %,16.41 %,25 %,787 RPM,0 km/h,15 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:15.505,Honda Brio 2015,ATSP0,-0.78 %,16.41 %,25 %,788 RPM,0 km/h,15 %,31 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:16.960,Honda Brio 2015,ATSP0,0.00 %,14.06 %,38 %,823 RPM,0 km/h,16 %,42 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:18.428,Honda Brio 2015,ATSP0,-1.56 %,14.06 %,38 %,785 RPM,0 km/h,16 %,42 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:19.884,Honda Brio 2015,ATSP0,2.34 %,14.06 %,37 %,782 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:21.435,Honda Brio 2015,ATSP0,3.13 %,14.06 %,37 %,785 RPM,0 km/h,21 %,54 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:22.962,Honda Brio 2015,ATSP0,-2.34 %,12.50 %,54 %,1173 RPM,2 km/h,19 %,79 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:24.466,Honda Brio 2015,ATSP0,0.00 %,12.50 %,83 %,1042 RPM,9 km/h,21 %,52 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:25.975,Honda Brio 2015,ATSP0,0.00 %,13.28 %,17 %,1301 RPM,9 km/h,21 %,82 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:27.443,Honda Brio 2015,ATSP0,0.00 %,11.72 %,92 %,1056 RPM,15 km/h,48 %,59 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:28.911,Honda Brio 2015,ATSP0,0.00 %,13.28 %,24 %,1099 RPM,14 km/h,16 %,28 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:30.495,Honda Brio 2015,ATSP0,0.00 %,14.06 %,54 %,1029 RPM,14 km/h,23 %,94 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:31.957,Honda Brio 2015,ATSP0,0.00 %,11.72 %,97 %,1446 RPM,20 km/h,33 %,70 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:33.428,Honda Brio 2015,ATSP0,-0.78 %,13.28 %,16 %,1351 RPM,25 km/h,22 %,72 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:34.864,Honda Brio 2015,ATSP0,-3.91 %,11.72 %,82 %,1142 RPM,24 km/h,19 %,54 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:36.340,Honda Brio 2015,ATSP0,-1.56 %,11.72 %,60 %,1209 RPM,25 km/h,20 %,62 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:37.795,Honda Brio 2015,ATSP0,0.00 %,12.50 %,51 %,1288 RPM,26 km/h,16 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:39.265,Honda Brio 2015,ATSP0,-7.81 %,14.06 %,20 %,1249 RPM,25 km/h,19 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:40.751,Honda Brio 2015,ATSP0,-1.56 %,13.28 %,26 %,1242 RPM,25 km/h,16 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:42.186,Honda Brio 2015,ATSP0,2.34 %,14.06 %,28 %,1223 RPM,24 km/h,18 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:43.640,Honda Brio 2015,ATSP0,0.78 %,13.28 %,37 %,1192 RPM,24 km/h,16 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:45.129,Honda Brio 2015,ATSP0,3.91 %,14.84 %,20 %,1178 RPM,24 km/h,16 %,25 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:46.584,Honda Brio 2015,ATSP0,4.69 %,12.50 %,38 %,1175 RPM,24 km/h,16 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:48.111,Honda Brio 2015,ATSP0,-2.34 %,14.84 %,59 %,1153 RPM,25 km/h,30 %,81 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:49.563,Honda Brio 2015,ATSP0,-14.06 %,11.72 %,46 %,1398 RPM,28 km/h,19 %,52 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:51.059,Honda Brio 2015,ATSP0,0.78 %,11.72 %,35 %,1502 RPM,31 km/h,15 %,28 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:52.546,Honda Brio 2015,ATSP0,-3.13 %,12.50 %,35 %,1573 RPM,32 km/h,19 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:54.030,Honda Brio 2015,ATSP0,-2.34 %,12.50 %,35 %,1659 RPM,34 km/h,19 %,39 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:55.561,Honda Brio 2015,ATSP0,-2.34 %,12.50 %,24 %,1713 RPM,35 km/h,16 %,20 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:57.027,Honda Brio 2015,ATSP0,0.00 %,14.06 %,14 %,1680 RPM,34 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:23:58.530,Honda Brio 2015,ATSP0,0.00 %,14.06 %,13 %,1643 RPM,33 km/h,16 %,20 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:00.012,Honda Brio 2015,ATSP0,0.00 %,14.84 %,18 %,1647 RPM,33 km/h,20 %,29 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:01.537,Honda Brio 2015,ATSP0,0.00 %,14.06 %,15 %,1603 RPM,32 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:03.065,Honda Brio 2015,ATSP0,0.00 %,14.84 %,14 %,1511 RPM,30 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:04.591,Honda Brio 2015,ATSP0,0.00 %,15.63 %,14 %,1424 RPM,28 km/h,17 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:06.078,Honda Brio 2015,ATSP0,0.00 %,14.06 %,20 %,1397 RPM,28 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:07.673,Honda Brio 2015,ATSP0,0.00 %,12.50 %,67 %,1391 RPM,29 km/h,47 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:09.147,Honda Brio 2015,ATSP0,0.00 %,10.94 %,98 %,1700 RPM,35 km/h,63 %,100 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:10.621,Honda Brio 2015,ATSP0,1.56 %,10.94 %,99 %,2005 RPM,42 km/h,14 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:12.101,Honda Brio 2015,ATSP0,0.78 %,10.94 %,29 %,2145 RPM,43 km/h,16 %,20 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:13.726,Honda Brio 2015,ATSP0,0.00 %,14.06 %,14 %,1932 RPM,38 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:15.182,Honda Brio 2015,ATSP0,0.00 %,14.84 %,15 %,1699 RPM,34 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:16.713,Honda Brio 2015,ATSP0,0.00 %,14.84 %,14 %,1564 RPM,31 km/h,16 %,21 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:18.232,Honda Brio 2015,ATSP0,0.00 %,14.84 %,14 %,1415 RPM,29 km/h,15 %,20 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:19.724,Honda Brio 2015,ATSP0,0.00 %,17.19 %,15 %,898 RPM,28 km/h,15 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:21.171,Honda Brio 2015,ATSP0,0.00 %,14.84 %,26 %,893 RPM,25 km/h,16 %,28 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:22.713,Honda Brio 2015,ATSP0,0.00 %,15.63 %,21 %,872 RPM,21 km/h,15 %,27 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:24.190,Honda Brio 2015,ATSP0,-9.38 %,16.41 %,23 %,790 RPM,16 km/h,15 %,28 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:25.637,Honda Brio 2015,ATSP0,-6.25 %,16.41 %,24 %,788 RPM,15 km/h,18 %,38 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:27.133,Honda Brio 2015,ATSP0,-4.69 %,14.06 %,31 %,1011 RPM,13 km/h,17 %,37 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:28.594,Honda Brio 2015,ATSP0,-2.34 %,14.06 %,34 %,863 RPM,6 km/h,17 %,39 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:30.033,Honda Brio 2015,ATSP0,-2.34 %,14.06 %,35 %,785 RPM,2 km/h,16 %,39 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:31.497,Honda Brio 2015,ATSP0,-1.56 %,14.84 %,35 %,789 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:32.986,Honda Brio 2015,ATSP0,-0.78 %,14.06 %,37 %,788 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:34.543,Honda Brio 2015,ATSP0,2.34 %,14.06 %,38 %,825 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:36.049,Honda Brio 2015,ATSP0,3.91 %,14.06 %,37 %,794 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:37.561,Honda Brio 2015,ATSP0,6.25 %,14.06 %,37 %,793 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:39.049,Honda Brio 2015,ATSP0,8.59 %,14.06 %,37 %,790 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:40.567,Honda Brio 2015,ATSP0,9.38 %,14.06 %,37 %,792 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:42.050,Honda Brio 2015,ATSP0,8.59 %,14.06 %,37 %,792 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:43.540,Honda Brio 2015,ATSP0,9.38 %,14.06 %,37 %,793 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:45.004,Honda Brio 2015,ATSP0,8.59 %,14.06 %,37 %,793 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:46.533,Honda Brio 2015,ATSP0,7.81 %,14.06 %,37 %,793 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:48.016,Honda Brio 2015,ATSP0,7.03 %,14.06 %,37 %,789 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:49.489,Honda Brio 2015,ATSP0,5.47 %,14.06 %,37 %,788 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:50.979,Honda Brio 2015,ATSP0,4.69 %,14.06 %,36 %,788 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:52.519,Honda Brio 2015,ATSP0,4.69 %,14.06 %,36 %,788 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:54.012,Honda Brio 2015,ATSP0,3.91 %,14.06 %,36 %,795 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:55.465,Honda Brio 2015,ATSP0,3.13 %,14.06 %,36 %,792 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:56.931,Honda Brio 2015,ATSP0,3.13 %,14.06 %,36 %,793 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:58.402,Honda Brio 2015,ATSP0,2.34 %,14.06 %,36 %,792 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:24:59.858,Honda Brio 2015,ATSP0,2.34 %,14.06 %,36 %,794 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:01.299,Honda Brio 2015,ATSP0,1.56 %,14.06 %,36 %,794 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:02.794,Honda Brio 2015,ATSP0,1.56 %,14.06 %,36 %,785 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:04.278,Honda Brio 2015,ATSP0,1.56 %,14.06 %,36 %,790 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:05.772,Honda Brio 2015,ATSP0,1.56 %,14.06 %,36 %,789 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:07.335,Honda Brio 2015,ATSP0,1.56 %,14.06 %,37 %,790 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:08.801,Honda Brio 2015,ATSP0,0.78 %,14.06 %,36 %,788 RPM,0 km/h,16 %,40 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:10.269,Honda Brio 2015,ATSP0,0.78 %,14.06 %,37 %,781 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:11.806,Honda Brio 2015,ATSP0,0.78 %,14.06 %,37 %,791 RPM,0 km/h,16 %,41 kPa
brio_2015_obd_log_20260106_212122.csv,2026-01-06 21:25:13.256,Honda Brio 2015,ATSP0,0.78 %,14.06 %,37 %,791 RPM,0 km/h,16 %,41 kPa
